epoch,loss,val_loss
0,4.136111883683638,3.129298221497309
1,3.0412267203030483,2.857968098452302
2,2.936621506284744,2.8518440528791777
3,2.9048385431844355,2.8277079231885014
4,2.8019001927444585,3.0436476412273588
5,2.7100346157201423,2.7449112360169288
6,2.6351403093012156,2.787058971366104
7,2.476688627048976,2.2988151036152225
8,2.45633894707456,2.295480969000836
9,2.386841875002433,2.2250904761204104
10,2.271733633025451,2.0797547531776686
11,2.219218905440948,2.0474993063479054
12,2.1023786929672923,1.9758651297108656
13,2.1364342497892244,2.1878260301083934
14,2.0744170277247216,2.081101658392926
15,2.019380623767479,2.0316915739150274
16,2.0281195747372593,1.7878456959108107
17,2.0214684914709857,1.8990704526706619
18,1.9160306899947657,1.8142937389360805
19,1.952359004009829,1.8834154922135022
20,1.8903003515125498,1.909785878901579
21,1.8679132304050385,1.8396666520306852
22,1.9050984994516105,2.1239973420188543
23,1.8856015600032126,1.8399076851046816
24,1.9340580469202433,1.8395377932762613
25,1.9134238474099312,1.7718133845296846
26,1.8065185251793539,1.9304301244061008
27,1.8397835683170918,1.8017817022038154
28,1.772944330535518,1.7091782985090398
29,1.788682934001439,1.713688428710107
30,1.732237889084204,1.8048357995999913
31,1.730788387126242,2.0375848838261197
32,1.7541718156435495,1.9222435805262352
33,1.7150164658858547,1.7419801536871462
34,1.7203247472926715,1.756563699164358
35,1.7439122652591135,2.032350613146412
36,1.6276679397443976,1.858044788140018
37,1.7482545270825662,1.6840215442942925
38,1.7271911858969233,1.6313825326711953
39,1.7383396325911549,1.7941685290563674
40,1.6945632979466143,1.6871625801332955
41,1.640797405597742,1.5751298074008657
42,1.665996724534596,1.713692614010402
43,1.717949308042012,1.6197298959809907
44,1.6806276231981536,1.7476445428368186
45,1.6128376185577207,1.5583755086068394
46,1.5941674301093876,1.8291551985708223
47,1.6367164401276688,1.5852114327099858
48,1.6535572444025821,1.5972203105485359
49,1.6490280742027945,1.7638360780923545
50,1.6363158998112834,1.626036061721594
51,1.5862588630812404,1.9012194823245614
52,1.649397823062917,1.5774256453222157
53,1.6267172223976731,1.5656294352343294
54,1.5957019244438786,1.5497704914637975
55,1.6251064861191884,1.5836910877098032
56,1.6026312986285558,1.6513666693045168
57,1.5967269776531847,1.4439028237952667
58,1.5620506037883715,1.8831729442894865
59,1.5515729249564643,1.5298396924726005
60,1.5383886183493953,1.522814461163112
61,1.5278471518667158,1.8147665408192848
62,1.5073656271874407,1.5445165780125831
63,1.5232697260044883,1.5491485392966238
64,1.5708924814798475,1.5744195073640266
65,1.5440773698716972,1.552584982242714
66,1.49059814653708,1.6455529993083202
67,1.367651660331923,1.3812862099433432
68,1.373521081950507,1.3088840148886856
69,1.3884688165030339,1.3393741400063444
70,1.2588529016542542,1.2846856774116049
71,1.313035831726584,1.2780554829811563
72,1.2930593334913434,1.2786415207142732
73,1.2717584157044362,1.2883049111787965
74,1.2882109573598874,1.356099280370336
75,1.2756662655483164,1.2742558498771823
76,1.2637602573737288,1.2992173680642836
77,1.3006232673685572,1.2728648388466868
78,1.2764227042708691,1.2527880587545381
79,1.2378291239227954,1.304073700288526
